Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details,popularity_score,google_trends_score
QorusDocs,"QorusDocs provides AI-powered proposal management software designed to streamline the creation of proposals, RFP responses, and other business-critical documents.",QorusDocs AI,"QorusDocs AI is a proposal management software that uses AI to create personalized, accurate, and visually compelling proposals, RFP responses, and other business documents.",AI Legal Assistants & Productivity Tools,Proposal management and document automation,"Streamlines the creation of proposals and RFP responses, improving speed, accuracy, and win rates.",Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Subscription (SaaS),Yes,Mainstream / Proven,Easy,Cloud (SaaS),Professional Services,English only,,,,,,,,,https://www.qorusdocs.com,,81.5,10.537037037037036
Querious,"Querious is a Legal Conversational Intelligence platform designed to help legal professionals deliver sharper advice, reduce administrative burden, and uphold client confidentiality and professional ethics.",Querious,"Querious is a Legal Conversational Intelligence platform that provides real-time insights during client conversations, helps reduce administrative tasks, and ensures client confidentiality.",AI Legal Assistants & Productivity Tools,Legal Conversational Intelligence,Enhances client conversations with real-time insights and reduces administrative burdens for legal professionals.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,Subscription (SaaS),Yes,Emerging / New Entrant,Very Easy,Cloud (SaaS),Corporate,English only,,,,,GDPR Compliance (EU),,,,https://www.querious.ai,,62.0,13.944444444444445
Qura,"Qura provides a unified platform for accessing legal data from over 1000 sources, including national and EU data, with AI support for legal research.",Qura,"A platform that provides access to a wide range of legal data sources, with AI tools to enhance legal research and discover critical connections.",Legal Research & Insights,AI-enhanced legal data search and analysis,Facilitates faster and more comprehensive legal research by integrating multiple data sources and using AI to find critical connections.,Corporate legal; Legal Operations Professionals,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,Sweden,,,,,,Positive feedback on AI support and time-saving capabilities.,,https://www.qura.law,,72.0,76.9074074074074
Rain Intelligence,"Rain Intelligence provides data-driven solutions for legal competitive intelligence, focusing on class action litigation and business development for law firms.",Rain Intelligence Platform,"An AI-driven platform providing real-time insights on emerging class actions, enhancing business development and strategic planning for law firms.","Litigation, Disputes & Investigations",Class action litigation intelligence and business development,Provides early insights into potential class actions and streamlines business development for law firms.,Private practice; Litigation / Disputes Teams,Advanced,,Yes,Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,,Cloud (SaaS),Professional Services,,,,,,,,Positive reviews highlighting the platform's effectiveness in early case detection and business development.,,https://www.rainintelligence.com,Email and phone contact available upon request for a demo.,68.5,30.185185185185187
Recital,"Recital provides AI-powered tools for in-house legal teams to gather, organize, and manage contracts efficiently without manual data entry.",Recital Platform,"Recital Platform is an AI-powered tool for managing in-flight contracts and reviewing agreements, with features like contract organization, clause library, and one-click comparisons.",Contracting & Document Automation,"Contract organization,clause library,and AI-assisted drafting.","Automates the gathering, organizing, and updating of contracts to reduce manual data entry and improve efficiency for legal teams.",Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,,Very Easy,Cloud (SaaS),Corporate,English only,,,AWS,,SOC 2 (Type I or II),,,,https://recitalapp.com,,45.0,54.129629629629626
Regology,Regology provides a regulatory intelligence platform that automates and manages the complete cycle of regulatory compliance.,Regology Platform,"Regology's platform automates regulatory compliance, offering solutions for regulatory change management, compliance management, and regulatory research.","Compliance, Risk & Governance","Regulatory Change Management,Compliance Management",Automates and manages the complete cycle of regulatory compliance.,Corporate legal; Compliance & Risk Teams,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Per Seat / License,,,,Cloud (SaaS),Other / Not Specified,English only,,,,,,,,,https://www.regology.com,,46.5,20.0
Relaw,"Relaw provides a comprehensive platform that automates legal admin tasks, streamlines workflows, and integrates AI tools for drafting, note-taking, and client intake.",Relaw,"Relaw is a platform that automates legal admin tasks, streamlines workflows, and integrates AI tools for drafting, note-taking, and client intake.",Contracting & Document Automation,"AI Drafting,AI Notetaker,Smart Intake,No-code document generation","Automates legal admin tasks, streamlines workflows, reduces errors, and saves time.",Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Freemium / Free Trial,Yes,Growing Adoption,Very Easy,Cloud (SaaS),Other / Not Specified,English only,,,AWS,,SOC 2 (Type I or II),,"Relaw's system has streamlined workflows, saved time, reduced errors, and improved client relationships.",,https://www.relaw.ai,,74.0,9.444444444444445
Responsiv,"Responsiv is an AI-powered compliance partner that automates routine tasks, suggests policy changes, and drafts new versions to keep organizations up to date with regulations.",Responsiv Platform,"An AI-powered platform that automates compliance tasks, suggests policy changes, and centralizes documentation to ensure regulatory compliance.","Compliance, Risk & Governance",Compliance Automation,Automates compliance tasks and ensures organizations stay up to date with regulatory changes.,Compliance & Risk Teams,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://responsiv.ai,,47.5,72.07407407407408
Rev,Rev is a leader in AI-powered speech-to-text technology trusted by top law firms nationwide.,AI-powered speech-to-text technology,"AI-powered technology for accurate transcription of legal conversations, enhancing efficiency and client service.","Litigation, Disputes & Investigations",Speech technology for transcription and deposition management,Automating transcription to improve efficiency and accuracy in legal documentation.,Private practice; Litigation / Disputes Teams,Enterprise-grade,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,,,Growing Adoption,,Cloud (SaaS),Professional Services,English only,,,,,,,,,https://www.rev.com,,75.5,82.37037037037037
Robin AI,"Robin AI provides an AI-powered platform for legal teams to review, analyze, and finalize contracts quickly, with features like advanced search and smart alerts.",Robin's Legal Intelligence Platform,"An AI-powered platform that reviews, analyzes, and finalizes contracts, with features like searchable conversations and smart alerts.",Contracting & Document Automation,Contract review and analysis,"Accelerates contract review and finalization with AI, providing instant insights and smart alerts.",Corporate legal; Legal Operations Professionals,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Multi-Region / Distributed Cloud,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,"London, UK","London, UK; New York, USA; Singapore",AWS,ISO 27001,SOC 2 (Type I or II),,,,https://www.robinai.com,"10 Devonshire Square, London, EC2M 4YP; 450 Park Avenue South, New York, NY 10016; 36 Robinson Road, Level 2, Singapore, 068877",83.0,34.27777777777778
Ruli,"Ruli provides an all-in-one modular platform for legal teams, offering solutions from contract review and legal research to intake and business FAQs.",Ruli Platform,"Ruli Platform is a modular solution for legal teams, offering tools for contract review, legal research, intake, and business FAQs.",AI Legal Assistants & Productivity Tools,"Contract review,legal research,intake management","Automates time-consuming legal workflows, enabling legal teams to focus on higher-value work.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,Positive feedback from legal professionals highlighting time savings and efficiency.,,https://www.ruli.ai,,74.0,61.03703703703704
Saga AI Platform,"Saga provides AI-powered legal solutions with a focus on usability and lawyer-centric tools, integrating with internal knowledge and external legal data.",Saga AI Platform,"Saga AI Platform integrates with legal data to enhance document review, drafting, research, and collaboration for legal professionals.",AI Legal Assistants & Productivity Tools,"Document review,drafting,and legal research","Enhances efficiency in legal document review, drafting, and research through AI integration.",Corporate legal; Private practice,Enterprise-grade,Europe (UK & EU),Yes,Large Language Model (LLM) Platforms,Europe / UK,,,Growing Adoption,,Cloud (SaaS),Corporate,English only,"Tussen de Bogen 17, Amsterdam",,Azure,,GDPR Compliance (EU),,,,https://sagalegal.io,,77.0,17.48148148148148
Sahel AI,"Sahel AI is a team of AI researchers, lawyers, and software engineers focused on AI-driven legal efficiency, particularly in contract drafting and review, with a strong emphasis on the Middle East and Africa regions.",Draft Review Chat,"Draft Review Chat is a legal AI solution integrated with MS Word to streamline contract drafting and review, enhancing productivity for legal professionals.",Contracting & Document Automation,Contract drafting and review automation,Streamlining contract drafting and review processes to boost productivity for legal professionals.,Corporate legal; Private practice,Advanced,Middle East; Africa,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,,,Cloud (SaaS),Other / Not Specified,English only,,,,ISO 27001,GDPR Compliance (EU),,,,https://www.sahel.ai,Contact form available on the website.,45.0,28.59259259259259
Second Chair,Premier AI deposition software for legal professionals.,Second Chair,"AI deposition software that provides real-time insights, question outlines, and inconsistency detection during depositions.","Litigation, Disputes & Investigations",Deposition management and real-time analysis,Reduces deposition preparation time and increases accuracy by providing real-time insights and inconsistency detection.,Litigation / Disputes Teams,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Professional Services,English only,,,,,SOC 2 (Type I or II),,Positive feedback from legal professionals.,,https://www.second-chair.ai,Contact us via the website.,49.0,49.81481481481482
SimpliContract,"SimpliContract is an intelligent contract management platform designed for enterprise use, offering AI agents tailored for legal and procurement teams.",SimpliContract,"SimpliContract is an intelligent contract management platform that provides AI agents for legal and procurement, offering features like contract performance management and domain-trained AI.",Contracting & Document Automation,"Contract Performance Management,AI for CLM",Helps legal and procurement teams manage contracts efficiently and maximize business value.,Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Domain-Specific or Proprietary AI Engines,,Enterprise Custom Quote,,Market Leader / Standard,Complex,Cloud (SaaS),Corporate,,,,,,,,,,https://www.simplicontract.com,,88.5,2.703703703703704
SimplyAgree,,SimplyAgree,"SimplyAgree is a platform designed to streamline the closing process for complex legal transactions, offering features like signature packets, closing books, document compilation, and electronic signing.","Cross-Border, Transactions & Deal Management",Closing process automation for legal transactions,"Streamlines the closing process for complex legal transactions, reducing time and effort required for signature packets and closing binders.",Private practice,,,No,,,Tiered / Plan-Based,Yes,Growing Adoption,Moderate,Hybrid,Professional Services,English only,,,,,,,"Astonishing, intuitive, and user-friendly product that saves time and improves the closing process.",,https://simplyagree.com,,32.5,2.8703703703703702
SingleDraft,,SingleDraft,"Legal drafting tools with features like intelligent document search, contextual highlights, and AI assistant.",Contracting & Document Automation,Intelligent document search and AI-assisted drafting,Enhancing legal document drafting and search capabilities with AI.,Corporate legal; Private practice,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,,,Growing Adoption,,Cloud (SaaS),Corporate,English + Limited Other Languages,,,,,,,,,https://www.singledraft.ai,,70.0,0.0
Sitomatica,"Sitomatica is an innovative AI agent that builds a global company dossier, helping uncover financial risks, reputational threats, and sanctions/compliance issues.",Sitomatica,"Sitomatica is a service for searching, screening, and analysing companies worldwide, helping businesses make data-driven decisions.","Compliance, Risk & Governance","Company search & screening,risk reduction,process automation","Helps businesses quickly find, analyse, and verify companies worldwide to reduce risk and automate processes.",Corporate legal; Compliance & Risk Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,,,,,,,https://www.sitomatica.com,management@sitomatica.com,69.0,1.851851851851852
Skribe,Skribe is a software platform that empowers legal professionals to non-stenographically capture their own legal testimony using modern software and technology.,Skribe Live,"Skribe Live allows users to capture, analyze, and share legal testimony, including depositions and EUOs, using Zoom integration. It provides AI-generated transcripts and video synching for efficient legal processes.","Litigation, Disputes & Investigations",Deposition recording and transcription,"Enables legal professionals to record and transcribe legal testimony without the need for stenographers or videographers, reducing costs and increasing efficiency.",Litigation / Disputes Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Growing Adoption,Easy,Cloud (SaaS),Legal,English only,,,,,,,,,https://skribe.ai,,68.0,54.24074074074074
SlataDoc,"SlataDoc is an AI-powered legal translation tool designed specifically for lawyers, integrating seamlessly with Microsoft Word to provide precise legal translations.",SlataDoc,An AI-powered legal translation tool that integrates with Microsoft Word to provide precise translations and formatting for legal documents.,AI Legal Assistants & Productivity Tools,Legal translation and document formatting,"Streamlines the process of translating and formatting legal documents, saving time and reducing costs.",Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Tbilisi, Georgia","53 Gabriel Salosi, FL7, #76, Tbilisi, 0103, Georgia",,,GDPR Compliance (EU),,,,https://slatadoc.ai,info@slatadoc.com,45.0,0.0
The Legal Monitoring Company BV,"LegalMonitr provides AI-powered regulatory monitoring solutions for legal professionals, centralizing important regulatory information and updates.",LegalMonitr,AI-powered regulatory monitoring solution that centralizes regulatory updates and alerts legal professionals to relevant changes.,"Compliance, Risk & Governance",Regulatory monitoring and alerts,"Centralizes regulatory updates and alerts legal professionals to relevant changes, eliminating the need to consult multiple sources individually.",Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,,Easy,Cloud (SaaS),Corporate,,,,,,,<$10K,,,https://legal-monitr.com,,44.0,0.0
Briefpoint,"Briefpoint automates the drafting of discovery documents, allowing legal professionals to focus on more critical tasks.",AutoDoc,"AutoDoc automates the drafting of discovery documents, including Requests for Admission, Requests for Production, and Interrogatories, with AI-assisted suggestions and firm-standardized objections.","Litigation, Disputes & Investigations",Discovery document automation,Automates routine discovery response and request drafting tasks to save time and ensure consistency.,Litigation / Disputes Teams,Enterprise-grade,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,United States,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"Irvine, California, USA","Irvine, California, USA",,,SOC 2 (Type I or II),,Positive reviews highlighting time savings and consistency in document drafting.,,https://briefpoint.ai,"(415) 528-6928, Spectrum Center Drive, Irvine, California 92618",77.0,2.3703703703703702
AI Legal Assistant,AI Legal Assistant is designed by practicing lawyers to enhance the productivity of legal practices in Australia and New Zealand.,AI Legal Assistant,"AI Legal Assistant is a comprehensive AI platform that helps legal professionals maximize their efficiency by automating document review, drafting, and legal research. It allows users to bill additional hours by streamlining complex tasks.",AI Legal Assistants & Productivity Tools,,Enhances legal productivity and efficiency by automating time-consuming tasks.,Corporate legal,Advanced,Australia & New Zealand,Yes,Legal productivity AI,,Subscription (SaaS),Yes,,,Cloud (SaaS),,English,,,,ISO 27001,SOC 2,,,,https://legalassistant.au/,,47.0,36.14814814814815
AI4Discovery,"AI4Discovery is a specialized legal AI solution designed to streamline workflows and support ethical, efficient legal practice. It transforms the legal profession by automating routine legal tasks.",AI4Discovery,"AI4Discovery is an AI-driven platform that automates the discovery process, enabling legal professionals to generate discovery documents, respond to objections, and draft Meet & Confer letters efficiently. It enhances legal workflows through intelligent automation, allowing attorneys to focus on higher-value tasks.","Litigation, Disputes & Investigations",,"AI4Discovery addresses the challenges of managing complex legal matters and automating routine legal tasks, thereby improving efficiency and reducing administrative burdens.",Corporate legal,Advanced,,Yes,Generative AI,,Subscription (SaaS),Yes,,,Cloud (SaaS),,,,,,,,$10K–$50K,,,https://www.ai4discovery.com,,42.5,1.851851851851852
Added Matter,Added Matter provides an EPO examiner statistics dashboard to help you drive your EP prosecution strategy based on examiner behavioral data.,Added Matter,"The platform offers tools to personalize arguments, understand examiner experiences, manage timelines, and identify patterns in European Patent Prosecution.","Intellectual Property, Technology & Data",,Helps users drive their EP prosecution strategy based on examiner behavioral data.,Corporate legal,,,Yes,,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.addedmatter.ai/,,20.0,53.351851851851855
Airia,Airia is an enterprise AI platform that focuses on secure and scalable solutions for AI adoption and orchestration.,Airia,"Airia provides a no-code, low-code, and pro-code platform for building and managing AI agents. It emphasizes security and governance to mitigate vulnerabilities while enabling organizations to experiment with AI solutions.",,,Airia addresses the challenges of securely adopting AI technologies while managing cybersecurity risks and vulnerabilities.,Enterprise AI Teams,Enterprise-grade,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.airia.com,,45.5,66.05555555555556
Alegi,"Alegi provides AI-powered tools for legal case predictions and analytics, helping legal professionals make informed decisions.",ALEGI,"ALEGI is designed to assist lawyers, firms, and individuals in predicting legal outcomes with confidence. It leverages AI technology to deliver insights and analytics for legal cases.",Legal Operations & Analytics,,,Corporate legal,,,Yes,,,,,,,,,,,,,,,,,,https://www.alegi.ai/,,19.0,31.55555555555556
Aloi,"Aloi is redefining legal workflows with AI, focusing on contract generation and internal data utilization.",Aloi,"Aloi offers contract generation powered by your firm’s knowledge, enabling faster and smarter drafting with unmatched precision. It integrates seamlessly into existing workflows, allowing for efficient contract finalization using internal templates and precedents.",Contracting & Document Automation,,Efficient contract generation and drafting using internal data and templates.,Corporate legal,Enterprise-grade,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.aloi.law/,,46.0,64.87037037037037
Anylaw,"AnyLaw is a legal research service that provides unlimited access to a vast amount of legal data, organized to save time and money.",AnyLaw,"AnyLaw simplifies legal research with powerful features designed to enhance the depth of research. It offers AI-generated case holdings and summaries, citation tracking, and advanced search options.",Legal Research & Knowledge,,Streamlining the legal research process and saving time and effort in finding relevant legal documents.,Corporate legal,Quick Win,,Yes,,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.anylaw.com,,32.5,3.185185185185185
AtlasAI,Atlas AI provides production-grade multi-agent AI systems for legal tech.,Atlas AI,Atlas AI connects plaintiffs with legal assistance and helps lawyers efficiently review and research potential cases using advanced AI technology.,"Matter, Workflow & Intake Management",,,Plaintiffs and Lawyers,,,Yes,,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.atlasai.legal/,,19.5,3.388888888888889
Booke.ai,Booke.ai automates bookkeeping in QuickBooks Online and Xero with enterprise-grade security. It offers an AI-driven platform designed to streamline financial processes for businesses and accounting firms.,Booke AI,"Booke AI automates reconciliation and categorization using AI-driven Robotic Process Automation (RPA) and Generative AI, significantly reducing manual bookkeeping tasks. The platform provides hands-free bank reconciliation and proactive error detection, ensuring accurate financial records.","Compliance, Risk & Governance",,"Automates tedious bookkeeping tasks, reducing manual work and improving accuracy.",Accounting Firms,Advanced,,Yes,Generative AI,,,Yes,,,Cloud (SaaS),,Any language,,,,,GDPR,,,,https://www.bookeai.com,,42.5,0.0
Brackets AI,"Brackets AI is a generative AI-powered Microsoft Word add-in that helps legal teams draft, review, and redline contracts faster and smarter.",Brackets AI,Brackets AI is designed to assist legal teams in drafting and reviewing contracts efficiently. It leverages AI technology to enhance the contract management process.,Contracting & Document Automation,,"Helps legal teams draft, review, and redline contracts faster and smarter.",Corporate legal,Quick Win,,Yes,,,,,,,Cloud (SaaS),,,,,,,,,,,https://brackets.ai/,,32.5,30.03703703703704
Candle AI,"Candle AI provides an AI-powered email assistant designed specifically for legal professionals, helping them manage their email more efficiently.",Candle AI Email Assistant,Candle AI Email Assistant cuts legal email time in half by automatically drafting context-aware client emails and providing instant access to case and client information. It integrates seamlessly with existing practice and document management systems.,AI Legal Assistants & Productivity Tools,,"Reduces the time legal professionals spend managing emails, allowing them to focus on higher-value work.",Legal Operations Professionals,Enterprise-grade,,Yes,,,Subscription (SaaS),,,,Cloud (SaaS),,,,,,,SOC 2,,,,https://www.trycandle.ai/,,46.5,21.11111111111111
CaseBlink,"CaseBlink is an AI software designed specifically for immigration law firms, aiming to streamline the preparation of immigration cases.",CaseBlink,"CaseBlink offers end-to-end AI automation for immigration cases, allowing users to organize evidence, prepare exhibit lists, and draft customizable letters. The platform simplifies the case preparation process, making it user-friendly and efficient.","Compliance, Risk & Governance",,Streamlining the preparation of immigration cases and reducing the time spent on document organization and drafting.,Corporate legal,Quick Win,,Yes,"Document understanding, legal research, tailored drafting",,Tiered / Plan-Based,Yes,,,Cloud (SaaS),,,,,,,,,,,https://caseblink.com/,,34.0,1.9444444444444444
CaseGuild,CaseGuild is an AI-powered platform designed to empower legal teams by providing advanced evidence reasoning capabilities.,CaseGuild,"CaseGuild helps legal teams find key evidence faster and strengthens their cases by analyzing massive document collections. The platform is purpose-built for attorneys handling complex cases, delivering actionable insights in real-time.","Litigation, Disputes & Investigations",,Accelerates the process of finding and analyzing key evidence in legal cases.,Corporate legal,Advanced,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,SOC 2 Type 2 Certified,,,,https://www.caseguild.com,,41.5,0.0
Casey,Casey empowers legal teams to create AI solutions using internal knowledge—no coding required.,Custom Legal AI Products,Casey enables legal teams to build custom AI products using their internal knowledge — all in minutes with no engineering team required.,AI Legal Assistants & Productivity Tools,,,Legal Operations Professionals,Experimental / early stage,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.casey.legal/,,25.5,40.7037037037037
Chamelio,"Chamelio builds intelligent technology for in-house legal teams, adapting to their unique industry context and strategic priorities.",Chamelio,"Chamelio is a legal intelligence platform that helps legal teams streamline their workflows and improve efficiency. It automates the extraction of key terms and obligations from legal documents, enabling teams to focus on strategic initiatives.",Contracting & Document Automation,,"Chamelio transforms the contract negotiation process and enhances the handling of complex legal documents, delivering efficiency and accuracy.",In-House Legal Teams,Quick Win,,Yes,,,Custom Pricing,Yes,,,Cloud (SaaS),,,,,,,SOC 2 Type II,,,,https://chamelio.ai/,,34.0,6.592592592592593
Clio,"Clio is the #1 choice of legal professionals for managing clients, cases, billing, and more.",Clio Duo,"Clio Duo is an Intelligent Legal Work Platform that automates tasks and research, putting clients at the center of legal practice management. It connects matters with trusted legal knowledge to enhance decision-making and streamline operations.",Legal Operations & Analytics,,"Clio Duo helps legal professionals manage their practice more efficiently by unifying client intake, billing, and casework into one platform.",Corporate legal,Advanced,Global,Yes,context-aware AI,,Subscription (SaaS),Yes,,,Cloud (SaaS),,,,,,ISO 27001,SOC 2 Type 2,,,,https://www.clio.com/,,53.5,67.0
DiliTrust,"DiliTrust offers an all-in-one suite for corporate and legal activities, designed to accelerate digital transformation with integrated solutions.",DiliTrust Governance Suite,"The DiliTrust Governance Suite is an AI-native platform that simplifies and connects every dimension of legal work, empowering corporate legal teams to move faster and reduce risk. It features five integrated modules for contract management, matter management, board portal, and secure document sharing.",Contracting & Document Automation,,Streamlining legal operations and enhancing collaboration within corporate legal teams.,In-house legal professionals,Quick Win,64 countries,Yes,Machine Learning algorithms,,Subscription (SaaS),Yes,,,Cloud (SaaS),,Multilingual support,,,,ISO 27001,,,,,https://www.dilitrust.com/,,35.5,55.14814814814815
Dimension AI,"Dimension AI provides a platform that leverages generative AI for precedent-based workflows, focusing on the extraction and analysis of data from public filings.",,"The platform automates the drafting and review of SEC documents and annual reports, saving significant time in the process. It utilizes a precedent-based approach to ensure accuracy and traceability in the data presented.","Compliance, Risk & Governance",,Streamlining and automating the drafting and review process for SEC documents and annual reports.,Capital Markets practices and inside counsel at public companies,Quick Win,,Yes,Generative AI,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.dimensionai.com/,,32.5,35.55555555555556
DocDraft,"DocDraft offers affordable legal services through a subscription model, providing access to AI-powered legal document automation and expert attorney connections.",DocDraft,"DocDraft allows users to draft attorney-grade documents with the help of AI and receive personalized legal guidance. The platform is designed to streamline the legal process, making it efficient and cost-effective.",Contracting & Document Automation,,Overpaying for legal help and the complexity of drafting legal documents.,Individuals seeking legal assistance,Quick Win,,Yes,,,Subscription (SaaS),,,,Cloud (SaaS),,,,,,,,$10K–$50K,,,https://www.docdraft.ai/,,33.5,2.333333333333333
DraftCheck,"DraftCheck provides workflow tools for business document management, focusing on drafting and redlining professional documents with precision and control.",DraftCheck,"DraftCheck uses Human-Guided Agentics to help professionals in Legal, HR, Compliance, and Operations draft, revise, and finalize documents efficiently. It integrates with Microsoft Word and Google Docs to enhance document accuracy and clarity.",Contracting & Document Automation,,"Drafting and reviewing complex documents with unmatched clarity, consistency, and accuracy.","Legal, HR, Compliance, and Operations teams",Quick Win,,Yes,Human-Guided Agentics,,Subscription (SaaS),Yes,,,Cloud (SaaS),,,,,,,,$10K–$50K,,,https://www.draftcheck.com,,34.5,0.0
DraftLex,DraftLex provides AI-driven solutions for legal professionals to streamline contract creation.,Draftlex,Draftlex allows users to create a variety of contract templates quickly and efficiently using AI technology. It is designed to save time and enhance the drafting process for legal professionals.,Contracting & Document Automation,,Time-consuming contract drafting,Legal Professionals,Quick Win,,Yes,,,,,,,Cloud (SaaS),,"English, Chinese, Hindi, Spanish, French, Bengali, Portuguese, Russian, Indonesian, German, Japanese, Marathi, Vietnamese, Telugu, Turkish, Punjabi, Swahili, Filipino, Tamil, Korean, Thai, Italian, Gujarati, Amharic, Kannada, Malay, Burmese, Ukrainian, Malayalam, Polish, Romanian, Nepali, Sinhala, Khmer, Uzbek, Azerbaijani, Czech, Greek, Hungarian, Kazakh, Dutch, Swedish, Serbian, Croatian, Armenian, Georgian, Lao, Danish, Finnish, Slovak, Bulgarian, Norwegian, Bosnian, Lithuanian, Albanian, Mongolian, Slovenian, Macedonian, Afrikaans, Latvian, Estonian, Catalan, Welsh, Galician, Irish, Maltese, Icelandic, Basque",,,,,,,,,https://draftlex.com/,,33.0,0.0
Edge,"Edge provides advanced AI-powered litigation technology designed for modern law firms, connecting every phase of a case from complaint to verdict.",Trial Edge,Trial Edge is an enterprise legal technology platform that utilizes AI-powered strategy and execution for high-stakes litigation. It offers comprehensive case management and automated excellence to optimize outcomes.,"Litigation, Disputes & Investigations",,Optimizing outcomes in high-stakes litigation through AI-powered workflows and strategies.,Corporate legal,Advanced,,Yes,,,One-time License,,,,Custom Pricing,,,,,,,GDPR,$10K–$50K,,,https://www.trialedge.ai/,,42.0,76.38888888888889
EisphorIA,"EisphorIA provides a research tool that streamlines the process of analyzing textual data sets, enhancing the efficiency of legal investigations.",EisphorIA,"EisphorIA allows users to conduct complex legal research through its contextual search functionality, providing access to a catalogue of open data libraries. It is designed to facilitate quick and efficient investigations of both public and confidential data.",Legal Research & Knowledge,,Efficient analysis and retrieval of relevant legal information from various textual data sets.,Corporate legal,Quick Win,,No,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.eisphoria.com,,18.0,0.0
Emma Legal,"Emma Legal is an AI-platform that automates the legal due diligence process for (corporate) law firms and investors, who are specialized in M&A transactions.",Emma Legal,"Emma Legal is an AI-powered platform that automates complex M&A legal due diligence. By analyzing contracts and flagging clause-level risks, it delivers structured, shareable reports that cut due diligence time by up to 50%.","Compliance, Risk & Governance",,Automates legal due diligence to reduce time and improve accuracy in M&A transactions.,"M&A professionals, including law firms, private equity and venture capital investors, and in-house legal teams.",Advanced,,Yes,"OpenAI, Gemini, Perplexity",,,Yes,,,Cloud (SaaS),,,,,,ISO 27001,"SOC 2 Type II, GDPR",,,,https://www.emma.legal/,,42.5,31.83333333333333
