Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
DeepJudge AG,"DeepJudge reimagines how firms access and use their internal knowledge, unlocking the full breadth of data and depth of documents to improve all areas of your business.",DeepJudge Knowledge Search,"DeepJudge Knowledge Search delivers precise language and concepts instantly, integrating with internal knowledge systems to provide accurate content-focused results at lightning speed.","Knowledge, Search & Precedent Management",AI-powered search and document management,"Provides instant access to institutional knowledge, improving efficiency and strategic decision-making.",Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,,Growing Adoption,,Hybrid,Corporate,English only,,,Other,,,,"The adoption rate has been remarkable, with more than 80% of Homburger’s legal professionals incorporating it into their workflow.",,https://www.deepjudge.ai,
Deliberately.ai,"Deliberately.ai provides AI-powered client intelligence solutions for family law practices, focusing on automating client intake, file management, and document drafting.",Deliberately.ai,"Deliberately.ai automates client intake, file management, and document drafting for family law practices, enhancing productivity and organization.",Contracting & Document Automation,Client intake and file management for family law.,"Automates client intake, file management, and document drafting to increase productivity and reduce administrative overhead in family law practices.",Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,<$10K,Positive reviews from law firms highlighting increased productivity and cost savings.,,https://deliberately.ai,
Deposely,"Deposely provides AI-powered deposition intelligence for law firms, offering features like real-time transcription, AI insights, and automated tracking.",Deposely,"Deposely is an AI-powered deposition assistant that transforms the deposition workflow with real-time transcription, AI insights, and automated tracking.","Litigation, Disputes & Investigations",Deposition management and analysis,Streamlines deposition preparation and execution with AI-powered tools.,Litigation / Disputes Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,Growing Adoption,,Cloud (SaaS),Professional Services,English only,,,Other,,SOC 2 (Type I or II),,Positive reviews from litigation support and commercial litigation attorneys.,,https://www.deposely.com,
Descrybe,"Descrybe is a platform offering AI-powered legal research tools that are fast, powerful, and accessible to everyone. It focuses on making legal information accessible and understandable, with features like natural language search and bilingual support.",Descrybe,"Descrybe is a legal research platform that provides high-performance case law research with AI-driven summaries, natural language search, and bilingual support.",Legal Research & Insights,"AI-powered legal research,case law analysis,and bilingual support.","Making legal research accessible and understandable for everyone, with AI-driven insights and bilingual support.",Corporate legal; Private practice; Legal Operations Professionals,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Freemium / Free Trial,,Emerging / New Entrant,Very Easy,Cloud (SaaS),Other / Not Specified,English + Limited Other Languages,"321 Walnut St #312, Newton, MA 02460",,,,,,"Positive feedback highlighting accessibility, ease of use, and AI-driven insights.",,https://descrybe.ai,"321 Walnut St #312, Newton, MA 02460"
Dioptra,"Dioptra provides an AI Contract Intelligence Layer for enterprises, focusing on AI redline generation, playbook distillation, term search, issues list, risk summaries, and clause library integrations.",AI Contract Intelligence Layer,"An AI-powered solution for contract intelligence, including features like AI redline generation, playbook distillation, term search, issues list, risk summaries, and clause library integrations.",Contracting & Document Automation,,"Enhances contract management through AI-driven tools for redlining, playbook distillation, and risk assessment.",,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,,,Growing Adoption,,Cloud (SaaS),Corporate,,,,AWS,,SOC 2 (Type I or II),,,,https://www.dioptra.ai,
Discrepancy AI,"Discrepancy AI offers automated document review and analysis using artificial intelligence, capable of handling legal, corporate, financial, medical, and other documents.",Discrepancy AI,"Discrepancy AI provides automated document review and analysis, capable of converting unstructured documents into structured data, detecting anomalies, fraud, and security issues.","Compliance, Risk & Governance",Document analysis and fraud detection,"Automates document review and analysis, detects anomalies, fraud, and security issues in documents.",Corporate legal; Compliance & Risk Teams,Advanced,,Yes,Computer Vision & Document Recognition; Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.discrepancyai.com,
docassemble,"docassemble is a free, open-source expert system for guided interviews and document assembly, based on Python, YAML, and Markdown.",docassemble,"A free, open-source expert system for guided interviews and document assembly.",Contracting & Document Automation,Guided interviews and document assembly,Automates the practice of law through guided interviews and document assembly.,Corporate legal; Private practice; Legal Operations Professionals,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Freemium / Free Trial,Yes,Growing Adoption,Very Easy,Cloud (SaaS),Other / Not Specified,Multilingual (supports major global languages),,,Other,,,<$10K,,,https://docassemble.org,
DocJuris,"DocJuris provides AI-powered contract review and management tools designed to streamline contract workflows, enhance accuracy, and improve collaboration across legal, procurement, and sales teams.",DocJuris,"DocJuris offers AI-powered contract review and management software that enhances workflow, accuracy, and compliance in contract negotiations.",Contracting & Document Automation,"Contract negotiation,review,and management","Streamlines contract workflows, reduces review times, and enhances compliance and accuracy in contract management.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,,,SOC 2 (Type I or II),,,,https://www.docjuris.com,
Doctrine,"Doctrine is a legal AI platform that provides tools for legal research, document analysis, and case management, aimed at improving productivity and accuracy for legal professionals.",Doctrine,"Doctrine is a legal AI platform offering tools for legal research, document analysis, and case management, designed to enhance productivity and accuracy for legal professionals.",AI Legal Assistants & Productivity Tools,"Legal research,document analysis,case management",Improves productivity and accuracy in legal research and case management.,Private practice; Corporate legal,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Europe / UK,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English + Limited Other Languages,,,,,,,,,https://www.doctrine.fr,
Document Drafter,"Document Drafter is a leading document automation platform integrated with Microsoft 365, offering deep functionality and high customer satisfaction.",Document Drafter,"Document Drafter is a Word-based document automation platform that integrates with Microsoft 365, offering deep functionality and ease of use for template owners.",Contracting & Document Automation,Document automation integrated with Microsoft 365,"Automates document creation and management, reducing manual processes and increasing efficiency.",Corporate legal; Private practice,Enterprise-grade,Europe (UK & EU),Yes,AI Integration / Orchestration Layer,Europe / UK,,Yes,Market Leader / Standard,,Cloud (SaaS),Corporate,English only,,,Azure,ISO 27001,GDPR Compliance (EU),,Positive feedback and high customer satisfaction reported.,,https://www.documentdrafter.com,
Dodonai,"Dodonai provides AI-powered software to automate legal work, including deposition summaries, medical record chronologies, and more, aimed at improving client service and practice growth.",Dodonai,"AI-powered software for automating legal work, including deposition summaries, medical record chronologies, and more.",AI Legal Assistants & Productivity Tools,"Deposition summaries,medical record analysis,document management",Automates mundane legal work to save time and improve client service.,Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,English only,,,,,HIPAA Compliance (US),,Positive reviews highlighting time savings and ease of use.,,https://www.dodon.ai,
DraftPilot Ltd.,"DraftPilot provides an AI-powered solution for redlining contracts, integrated with Microsoft Word, allowing users to speed up contract drafting and review processes.",DraftPilot,DraftPilot is an AI-powered redlining solution that integrates with Microsoft Word to enhance contract drafting and review efficiency.,Contracting & Document Automation,AI-powered contract redlining and playbook generation,Speeds up contract review and drafting processes by automating redlining and issue spotting.,Corporate legal; Alternative Legal Service Providers (ALSPs),Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"85 Great Portland Street, 1st floor, London, W1W 7LT, United Kingdom","85 Great Portland Street, 1st floor, London, W1W 7LT, United Kingdom",,ISO 27001,SOC 2 (Type I or II),,,,https://draftpilot.ai,
Draftwise,Draftwise provides AI-powered contract drafting solutions that leverage firm-specific precedents to enhance legal drafting efficiency and quality.,Draftwise,"Draftwise is an AI-powered contract drafting tool that uses firm-specific precedents to draft, review, and negotiate contracts efficiently.",Contracting & Document Automation,Precedent-powered contract drafting and negotiation,Enhances contract drafting efficiency and quality by leveraging firm-specific precedents.,Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,ISO 27001,SOC 2 (Type I or II),,"Draftwise is praised for enhancing contract drafting efficiency and quality, and for its integration with firm-specific precedents.",,https://www.draftwise.com,
DueCourse,"DueCourse provides technology-assisted coaching solutions for law firms, focusing on individual and cohort coaching with AI-powered support.",DueCourse Coaching Platform,"A platform-enabled coaching solution for law firms, offering 1-to-1 and cohort coaching with AI-powered support to enhance lawyer productivity and development.",AI Legal Assistants & Productivity Tools,Coaching and professional development for lawyers,Enhancing lawyer productivity and development through coaching and AI support.,Corporate legal,Quick win,,Yes,Conversational / Copilot Layer,,Enterprise Custom Quote,,Emerging / New Entrant,Moderate,Cloud (SaaS),Corporate,English only,,,,,,,Positive feedback from users highlighting the value of coaching sessions.,,https://duecourse.coach,
eBrevia,"eBrevia provides AI solutions for contract analysis, drafting, and review, enhancing efficiency and accuracy in legal and business processes.","Contract Analyzer, DraftPro","AI-powered tools for fast and accurate contract analysis, drafting, and review, with features like document scanning, provision comparison, and integration with various platforms.",Contracting & Document Automation,"Contract analysis,drafting,and review","Enhances efficiency and accuracy in contract analysis, drafting, and review processes.",Corporate legal; Private practice,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics,,,,Growing Adoption,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,,,SOC 2 (Type I or II),,Positive reviews from law firms and corporations highlighting efficiency and accuracy improvements.,,https://www.ebrevia.com,call +1 203 870 3000
eDiscovery AI,"eDiscovery AI provides AI-powered solutions to streamline and optimize discovery and privacy, focusing on efficiency, accuracy, and cost-effectiveness.","Early Case Intelligence, Review, Privacy, and Multimedia","AI-powered solutions providing industry-leading features, speed, and accuracy for legal technology.","Litigation, Disputes & Investigations","Document review and analysis,privacy management,multimedia handling",Streamlining and optimizing discovery and privacy processes in legal technology.,Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Computer Vision & Document Recognition,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,,,,,,,,"Positive reviews highlighting efficiency, accuracy, and strategic engagement with data.",,https://ediscoveryai.com,(612)400-8025 | support@ediscoveryai.com
Gavel,"Gavel provides powerful document automation software for legal professionals, enabling them to automate complex documents with conditional logic and secure client intake.",Gavel Workflows,"Gavel Workflows is a document automation tool that allows legal professionals to create intake forms, collect client information, and generate legal documents with powerful automation and smart logic.",Contracting & Document Automation,Document generation and client intake automation,Automates document creation and client intake processes to save time and reduce errors.,Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),$10K–$50K,Positive reviews from legal professionals highlighting ease of use and time savings.,,https://www.gavel.io,"Call (415) 941-6866, Email [email protected]"
GC AI,"GC AI provides AI-powered tools for legal teams, focusing on contract analysis, legal research, and document automation.",GC AI,"AI that gets legal, designed to assist in-house legal teams with contract analysis, legal research, and document automation.",AI Legal Assistants & Productivity Tools,"Contract analysis,legal research,document automation",Streamlines legal processes by automating contract analysis and legal research.,Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://gc.ai,
GDPR Register,"GDPR Register provides GDPR compliance software tools designed to help organizations manage data privacy and comply with regulations such as GDPR, nFADP, POPIA, CCPA, and LGPD.",GDPR Register,"GDPR Register is an online tool that helps organizations comply with GDPR by providing features like data mapping, data breach reporting, and contract lifecycle management.","Compliance, Risk & Governance","GDPR compliance,data privacy management",Facilitates GDPR compliance and data privacy management for organizations.,Corporate legal; Compliance & Risk Teams,,Europe (UK & EU),No,,Europe / UK,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Tallinn, Estonia","Tallinn, Estonia",AWS,ISO 27001; ISO 9001; ISO 27017; ISO 27018,GDPR Compliance (EU),,,,https://www.gdprregister.eu,"info@gdprregister.eu, +372 503 1455, Rotermanni 8, Tallinn, Estonia"
Genie AI,"Genie AI provides an AI-powered platform for drafting, reviewing, and creating legal documents efficiently.",Genie AI,"An AI-powered platform for drafting, reviewing, and creating legal documents with efficiency and ease.",Contracting & Document Automation,AI-powered legal document drafting and review,Streamlining the process of drafting and reviewing legal documents to save time and resources.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Domain-Specific or Proprietary AI Engines,,Subscription (SaaS),,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,ISO 27001,GDPR Compliance (EU),,Positive feedback on user-friendliness and efficiency.,,https://www.genieai.co/en-us,
goHeather,"goHeather provides AI-powered contract review and drafting tools designed for businesses and individuals, offering advanced AI and machine learning to identify risky clauses and suggest alternative wording.",goHeather AI Contract Review,"AI-powered tool for reviewing and drafting contracts, identifying risky clauses, and suggesting alternative wording.",Contracting & Document Automation,AI-powered contract review and drafting,Identifies risky clauses in contracts and suggests alternative wording to minimize legal risks.,Corporate legal; Private practice; Contract Management Teams / Procurement,Enterprise-grade,North America (US & Canada); United Kingdom; Australia,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,Freemium / Free Trial,Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"1 Sansome St., Suite 1400 San Francisco, CA 94104 United States",,Other,ISO 27001,GDPR Compliance (EU),,,,https://www.goheather.io,help@goheather.io
Goodfact,"Goodfact provides AI-enhanced tools for transforming document dumps into interactive fact-based chronologies, focusing on litigation strategy.",Goodfact,"Goodfact is a tool for creating fact-based chronologies from document dumps, enhanced by AI to assist in litigation strategy.","Litigation, Disputes & Investigations",Document review and fact chronology creation for litigation.,"Transforms document chaos into clear, fact-based chronologies for litigation.",Litigation / Disputes Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,,,,Other / Not Specified,,,,,,,,,,https://www.goodfact.co,
Habeas,"Habeas is an AI-powered legal research tool designed to enhance efficiency and accuracy in legal work, particularly for Australian lawyers.",Habeas,"Habeas is an AI legal research tool that provides fast, intuitive, and verified legal research capabilities, designed specifically for Australian legal practitioners.",Legal Research & Insights,AI-powered legal research tool for finding case law and legal precedents.,"Provides fast and accurate legal research, reducing the time spent on finding legal precedents and case law.",Private practice; Litigation / Disputes Teams,Advanced,Australia,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Australia,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,Australia,,,,,,"Positive reviews highlighting efficiency, accuracy, and ease of use for legal research.",,https://www.habeas.ai,
Hebbia,"Hebbia is an AI platform designed to enhance business operations with generative AI, offering solutions for complex workflows and data analysis.",Matrix,"Matrix is an AI interface designed for executing complex workflows, analyzing large datasets, and providing enterprise security.",AI Legal Assistants & Productivity Tools,,Enhances business operations by automating complex workflows and data analysis.,Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Computer Vision & Document Recognition,,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,"233 Spring Street, New York, NY",,,,,,,,https://www.hebbia.com,"233 Spring Street, New York, NY"
HerculesAI,"HerculesAI provides AI-powered solutions for automating complex enterprise workflows, ensuring accuracy and efficiency.",HerculesAI Platform,"HerculesAI Platform automates data transformation and workflow processes, enhancing productivity and accuracy.",,,Automates complex enterprise workflows to improve efficiency and accuracy.,,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,Growing Adoption,,Private Cloud,Other / Not Specified,,,,Azure,,,,,,https://www.hercules.ai,
Ideagen ConvergePoint,"Ideagen ConvergePoint is a leading compliance software provider on the Microsoft Office 365 SharePoint platform, offering policy management, contract management, conflict of interest disclosures, and incident management software to automate compliance processes.","Policy Management Software, Contract Management Software, Incident Management Software, Conflict of Interest Disclosures Software","Software solutions for policy management, contract management, incident management, and conflict of interest disclosures, integrated with Microsoft 365 SharePoint to streamline compliance processes.","Compliance, Risk & Governance","Policy management,contract lifecycle management,incident management,conflict of interest management",Automating compliance processes and protecting data within organizations.,Corporate legal; Compliance & Risk Teams,,North America (US & Canada); Europe (UK & EU),Yes,,,Subscription (SaaS),,,,Cloud (SaaS),Corporate,English only,,,Other,,,,"Great service always. Speedy responses, useful information, and very helpful analysis.",,https://www.convergepoint.com,
IntelAgree,"IntelAgree is a contract lifecycle management (CLM) platform that uses AI to optimize contract negotiations, automate workflows, and provide risk assessments.",IntelAgree,"IntelAgree is a CLM platform that uses AI to streamline contract management processes, including negotiation, risk assessment, and workflow automation.",Contracting & Document Automation,"Contract lifecycle management,risk assessment,and workflow automation.","Streamlines contract management processes, reduces negotiation time, and provides risk assessments.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,Freemium / Free Trial,Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,Azure,,SOC 2 (Type I or II),,"Positive reviews highlight ease of use, AI capabilities, and integration features.",,https://www.intelagree.com,
IP Mind,IP Mind is focused on revolutionizing the management and licensing of Standard Essential Patents (SEPs) using AI to transform the creation and evaluation of SEP claim charts.,IP Mind,"IP Mind offers a comprehensive suite of services for SEP management and licensing, using AI to streamline SEP landscaping, creation, and reviews.","Intellectual Property, Technology & Data",Standard Essential Patent (SEP) Analysis,"Streamlining the management and licensing of SEPs, improving accuracy and efficiency in SEP identification and evaluation.",Intellectual Property Teams,Advanced,,Yes,Domain-Specific or Proprietary AI Engines,,,Yes,,,,Other / Not Specified,English only,"Cambridge, England, United Kingdom","10 Jesus Lane, Cambridge, England, CB5 8BA, United Kingdom",Other,,,,,,https://ipmind.ai,contact@ipmind.ai
"Ironclad, Inc.","Ironclad is a leading provider of AI-powered Contract Lifecycle Management (CLM) solutions, designed to streamline and automate the entire contract process for global business teams.",Ironclad CLM,"Ironclad CLM is an AI-powered contract lifecycle management platform that automates and streamlines the entire contract process, from drafting to negotiation to post-signature management.",Contracting & Document Automation,Contract Lifecycle Management,Streamlines and automates the contract process to reduce legal risk and improve efficiency.,Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Subscription (SaaS),Yes,Market Leader / Standard,Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,Positive reviews highlighting user-friendly interface and efficiency in contract management.,,https://ironcladapp.com,
Ivo,"Ivo provides AI-powered contract review and intelligence solutions for enterprises, focusing on accelerating contract negotiation and review processes.",Ivo,"Ivo is an AI contract intelligence platform that accelerates contract negotiation and review, providing customizable playbooks, redline recommendations, and contract insights.",Contracting & Document Automation,Contract review and redlining,"Accelerates contract negotiation and review with AI, improving efficiency and maintaining legal standards.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.ivo.ai,
Jigsaw,"Jigsaw transforms complex information into visuals that firms and their clients easily understand, providing polished, professional results faster than traditional tools.",Jigsaw,"Jigsaw enables teams to create stunning, data-rich visualisations faster than traditional tools, integrating seamlessly with Microsoft Office and iManage.",AI Legal Assistants & Productivity Tools,Visualisation and diagramming for legal professionals,"Reduces time and frustration in creating professional visualisations for legal, accounting, and finance professionals.",Corporate legal; Private practice; Legal Operations Professionals,Advanced,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Professional Services,English only,,,,,,,Highly recommended by top-tier law firms and financial institutions for its ease of use and excellent customer service.,,https://www.jigsawcreate.com,Contact form available on the website.
JUNE GmbH,"JUNE is a case management and automation platform for legal and administrative processes, integrating AI technologies like GenAI, AI Vision, NLP, and Machine Learning.",JUNE,JUNE is a cloud-based case management and automation platform that integrates AI technologies to enhance legal and administrative processes.,"Matter, Workflow & Intake Management","Case management,document automation,AI data extraction,and workflow management.",Automates and manages legal and administrative processes efficiently using AI.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics; Computer Vision & Document Recognition,,,Yes,,,Cloud (SaaS),Other / Not Specified,Multilingual (supports major global languages),"Munich, Germany","Munich, Germany",,,,,,,https://www.june.tech,"JUNE GmbH, Goethestr. 49a, 80336 Munich, Tel +49 89 6931354 0, Fax +49 89 6931354 99, info@june.de"
Junior Associate,"Junior Associate provides AI-powered solutions for law firms and legal professionals, including document management, workflow optimization, and litigation preparation.",JAX,"JAX is an AI-powered platform offering document management, workflow optimization, and litigation preparation tools for legal professionals.",AI Legal Assistants & Productivity Tools,"Document Management,Workflow Optimization,Litigation Preparation","Optimizes legal strategies, manages documents, and prepares for litigation.",Corporate legal; Private practice,Advanced,North America (US & Canada),Yes,Large Language Model (LLM) Platforms,,Subscription (SaaS),,,Moderate,Cloud (SaaS),Corporate,English only,Canada,,,,,$10K–$50K,,,https://juniorassociate.com,
Jurimesh,"Jurimesh provides AI-powered legal due diligence software designed to streamline workflows, eliminate repetitive manual work, and deliver faster high-quality due diligence.",Jurimesh,"AI-powered legal due diligence software that structures data rooms, spots critical risks faster, and accelerates deals.","Cross-Border, Transactions & Deal Management",Legal Due Diligence,Streamlines legal due diligence by automating document organization and risk detection.,Corporate legal; Contract Management Teams / Procurement,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"Ghent, Belgium","Ghent, Belgium",,ISO 27001,,,Jurimesh helps structure information faster and automatically identify contractual risks.,,https://jurimesh.com,"info@jurimesh.com, +32 491 30 12 71"
Juristic ApS,"Juristic is a Copenhagen-based legal tech company providing a platform for lawyers and legal advisers, combining legal principles with best-in-class technology.",Juristic Platform,"A platform for lawyers and legal advisers that includes a digital whiteboard, an interactive timeline, and a legal task management system.","Matter, Workflow & Intake Management","Digital whiteboard,interactive timeline,legal task management",Streamlines legal workflows and enhances collaboration for law firms.,Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Europe / UK,,,Growing Adoption,,Hybrid,Professional Services,,"Kompagnistræde 39, 3., 1208 København K, Denmark","Kompagnistræde 39, 3., 1208 København K, Denmark",Other,,,,Discover how Juristic has transformed the legal practice of firms around the world.,,https://www.juristic.io,"Kompagnistræde 39, 3., 1208 København K, Denmark"
Juro,"Juro is an AI-native contract lifecycle management platform that enables teams to create, manage, and automate contracts efficiently.",Juro,"Juro is a contract lifecycle management platform that uses AI to automate and streamline contract processes, enabling faster agreement and management of contracts.",Contracting & Document Automation,,Juro solves the problem of contract administration and legal bottlenecks by enabling faster contract agreement and management through AI.,Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,Usage-Based / Consumption,Yes,Mainstream / Proven,Moderate,Cloud (SaaS),Corporate,,,,,,,,,,https://juro.com,
Jylo,"Jylo provides an intelligent workspace platform that focuses on document analysis, collaborative workflows, and maintaining data privacy.",Jylo,"Jylo is an intelligent workspace platform that offers document analysis, collaborative workflows, and data privacy assurances.",AI Legal Assistants & Productivity Tools,,Provides a platform for document analysis and collaborative workflows while ensuring data privacy.,Corporate legal,,,Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,,,Cloud (SaaS),Corporate,,,,Azure,,,,,,https://jylo.ai,
Kelsen Legal Technologies Inc.,"Kelsen acts as an external innovation partner, providing customized AI solutions for legal operations, focusing on workflow gaps and real-world needs.",Kelsen Suite™,"An integrated AI platform designed for law firms, providing solutions for knowledge management, legal research, and drafting.","Knowledge, Search & Precedent Management",Legal research and drafting automation,Solves workflow gaps in legal operations with customized AI solutions.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Domain-Specific or Proprietary AI Engines,Multi-Region / Distributed Cloud,Enterprise Custom Quote,Yes,Emerging / New Entrant,Complex,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,Other,,GDPR Compliance (EU),,,,https://www.kelsen.ai,
Laine Neural Network SA,"Laine is a tech company dedicated to making the legal industry better, efficient and accessible by providing AI-enabled legal drafting solutions.",Laine,"Laine is an AI-enabled legal drafting terminal that allows users to create bespoke contracts quickly, with the option to consult human lawyers.",Contracting & Document Automation,AI-enabled legal drafting and contract generation,"Provides affordable, reliable, and professional legal drafting by combining AI efficiency with human expertise.",Corporate legal; Private practice,Advanced,,Yes,Conversational / Copilot Layer; Domain-Specific or Proprietary AI Engines,,Subscription (SaaS),Yes,Emerging / New Entrant,,Cloud (SaaS),Corporate,,"Geneva, Switzerland","Switzerland, Belgium, United Arab Emirates",,,GDPR Compliance (EU),,,,https://www.laine.ai,home@laine.ai
Laurel,"Laurel provides AI-powered solutions for legal timekeeping, automating timesheets to increase profitability and efficiency.",Laurel,"Laurel automates legal timekeeping with AI, capturing every billable moment and turning it into accurate, billable entries.",AI Legal Assistants & Productivity Tools,Timekeeping automation and compliance,Automates timesheets to save time and increase profitability by capturing every billable moment.,Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,,,,,,Cloud (SaaS),Professional Services,English only,,,,,SOC 2 (Type I or II),,Positive feedback on time-saving and increased billable hours.,,https://www.laurel.ai,
Lawformer,"Lawformer delivers industry-specific legal AI agents, trained to reflect sector-specific regulatory, operational, and contractual standards, supporting the full contract lifecycle.",Lawformer Automotive,"Lawformer Automotive is a customized AI assistant for the automotive industry, trained for supplier agreements, NDAs, IP-heavy contracts, and compliance documents.",Contracting & Document Automation,Contract lifecycle management and automation for the automotive industry.,Enhances speed and compliance in contract management without disrupting daily processes.,Corporate legal,Advanced,,Yes,Domain-Specific or Proprietary AI Engines,,,,Growing Adoption,,,Automotive,English only,,,,,,,,,https://lawformer.com,[email protected]
Lawhive Ltd,Lawhive is a platform that connects users with licensed solicitors in the UK for legal assistance at a reduced cost compared to traditional law firms.,Lawhive,An online platform providing access to licensed solicitors for various legal services in the UK.,Business Partnering & Self-Service Tools,Online legal service platform,Provides affordable and fast access to legal services.,Corporate legal; Private practice,,United Kingdom,No,,,Subscription (SaaS),,Emerging / New Entrant,Very Easy,Cloud (SaaS),Other / Not Specified,English only,England & Wales,,,,,,,,https://lawhive.co.uk,
